Qcount, Qval, Angsum
230, -4.06724, 28.743
231, -4.0539, 28.7319
232, -4.04055, 28.7345
233, -4.02721, 28.7329
234, -4.01387, 28.731
235, -4.00053, 28.7332
236, -3.98718, 28.7269
237, -3.97384, 28.7264
238, -3.9605, 28.7239
239, -3.94716, 28.725
240, -3.93381, 28.7213
241, -3.92047, 28.728
242, -3.90713, 28.7174
243, -3.89378, 28.7135
244, -3.88044, 28.7141
245, -3.8671, 28.7118
246, -3.85376, 28.7119
247, -3.84041, 28.7039
248, -3.82707, 28.7072
249, -3.81373, 28.698
250, -3.80039, 28.7044
251, -3.78704, 28.6787
252, -3.7737, 28.6911
253, -3.76036, 28.6897
254, -3.74701, 28.6854
255, -3.73367, 28.6774
256, -3.72033, 28.6772
257, -3.70699, 28.6712
258, -3.69364, 28.66
259, -3.6803, 28.6633
260, -3.66696, 28.6625
261, -3.65362, 28.6534
262, -3.64027, 28.6607
263, -3.62693, 28.6558
264, -3.61359, 28.6373
265, -3.60025, 28.6579
266, -3.5869, 28.6433
267, -3.57356, 28.6349
268, -3.56022, 28.6323
269, -3.54687, 28.6192
270, -3.53353, 28.6173
271, -3.52019, 28.6112
272, -3.50685, 28.6187
273, -3.4935, 28.5935
274, -3.48016, 28.5945
275, -3.46682, 28.6023
276, -3.45348, 28.588
277, -3.44013, 28.5604
278, -3.42679, 28.5698
279, -3.41345, 28.5788
280, -3.4001, 28.567
281, -3.38676, 28.569
282, -3.37342, 28.5291
283, -3.36008, 28.5502
284, -3.34673, 28.5503
285, -3.33339, 28.551
286, -3.32005, 28.5264
287, -3.30671, 28.5078
288, -3.29336, 28.5172
289, -3.28002, 28.5076
290, -3.26668, 28.5234
291, -3.25333, 28.5072
292, -3.23999, 28.4226
293, -3.22665, 28.4583
294, -3.21331, 28.4604
295, -3.19996, 28.4613
296, -3.18662, 28.4567
297, -3.17328, 28.463
298, -3.15994, 28.4043
299, -3.14659, 28.4092
300, -3.13325, 28.4158
301, -3.11991, 28.4026
302, -3.10656, 28.4113
303, -3.09322, 28.3754
304, -3.07988, 28.3639
305, -3.06654, 28.3479
306, -3.05319, 28.4051
307, -3.03985, 28.3694
308, -3.02651, 28.3126
309, -3.01317, 28.2384
310, -2.99982, 28.3013
311, -2.98648, 28.3138
312, -2.97314, 28.2491
313, -2.9598, 28.1967
314, -2.94645, 28.2627
315, -2.93311, 28.2455
316, -2.91977, 28.1693
317, -2.90642, 28.1843
318, -2.89308, 28.0597
319, -2.87974, 28.1056
320, -2.8664, 28.13
321, -2.85305, 28.0238
322, -2.83971, 28.1215
323, -2.82637, 28.1164
324, -2.81303, 28.0462
325, -2.79968, 27.9725
